Coven #,curve_type,circulating_supply,bonding_curve_backing,ch_treasury,dao_treasury,buys,sales,target_supply,target_price,beyond_supply,beyond_price,linear_slope,quadratic_coefficient,exponential_coefficient,exponential_intercept
253,Fixed,8,1504,423.00000000000017,68538.54532669742,19,11,342,4700,364,14100,13.2316715542522,0.038802555877572434,0.6069214876033058,-65873.4375
254,Linear,6,623.3390928725704,323.1152267818574,68538.54532669742,20,14,464,2575,492,7725,5.339092872570195,0.011531518083304956,0.19279724468403714,-38754.75254567236
255,Fixed,9,1251,510.8250000000004,68538.54532669742,29,20,741,3475,783,10425,4.508108108108108,0.006092037983929876,0.10872285839434329,-56061.63725674238
256,Fixed,8,144,54.000000000000036,68538.54532669742,24,16,243,450,260,1350,1.7851239669421488,0.007376545317942763,0.1056710109193378,-5738.517083480098
257,Fixed,2,118,177.00000000000009,68538.54532669742,21,19,607,1475,642,4425,2.3366336633663365,0.0038558311276672224,0.0675907893229465,-23346.771107801582
258,Fixed,0,0,333.00000000000006,68538.54532669742,15,15,218,3700,234,11100,16.368663594470046,0.0754316294676039,1.0277777777777777,-44697.027777777774
259,Quadratic,3,25.398100803506214,27.647005113221333,68538.54532669742,19,16,75,250,84,750,3.2432432432432434,0.04382761139517896,0.35385704175513094,-1687.721160651097
260,Fixed,7,1610,569.25,68538.54532669742,20,13,515,5750,546,17250,10.73929961089494,0.020893579009523232,0.3503000395991349,-86797.86926193305
261,Linear,9,1048.235294117647,408.7866873065016,68538.54532669742,26,17,647,2700,684,8100,4.012383900928793,0.006211120589673053,0.10981636263803307,-43128.12519065341
262,Fixed,6,714,374.85000000000025,68538.54532669742,24,18,573,2975,607,8925,4.993006993006993,0.00872903320455768,0.14855687606112053,-45630.43293718166
263,Fixed,11,1958,547.3500000000004,68538.54532669742,26,15,451,4450,479,13350,9.493333333333334,0.021096296296296297,0.3425184729064039,-64909.9907635468
264,Quadratic,10,2036.1078964166798,488.39356140986484,68538.54532669742,21,11,418,5075,444,15225,11.683453237410072,0.028017873471007367,0.4539355992844365,-73859.40742397138
265,Fixed,10,490,154.35000000000002,68538.54532669742,26,16,486,1225,515,3675,2.424742268041237,0.004999468593899458,0.0845673259466363,-18667.349245797523
266,Quadratic,9,523.2526721763084,144.28242975206612,68538.54532669742,21,12,331,1450,353,4350,4.218181818181818,0.01278236914600551,0.19328179152226074,-19598.387096774193
